Record,Annihilator FFA,Annihilator 2-TDM,Annihilator 4-TDM,Annihilator Maze,Assassin FFA,Assassin 2-TDM,Assassin 4-TDM,Assassin Maze,Auto 3 FFA,Auto 3 2-TDM,Auto 3 4-TDM,Auto 3 Maze,Auto 5 FFA,Auto 5 2-TDM,Auto 5 4-TDM,Auto 5 Maze,Auto Gunner FFA,Auto Gunner 2-TDM,Auto Gunner 4-TDM,Auto Gunner Maze,Auto Smasher FFA,Auto Smasher 2-TDM,Auto Smasher 4-TDM,Auto Smasher Maze,Auto Trapper FFA,Auto Trapper 2-TDM,Auto Trapper 4-TDM,Auto Trapper Maze,Basic Tank FFA,Basic Tank 2-TDM,Basic Tank 4-TDM,Basic Tank Maze,Battleship FFA,Battleship 2-TDM,Battleship 4-TDM,Battleship Maze,Booster FFA,Booster 2-TDM,Booster 4-TDM,Booster Maze,Destroyer FFA,Destroyer 2-TDM,Destroyer 4-TDM,Destroyer Maze,Factory FFA,Factory 2-TDM,Factory 4-TDM,Factory Maze,Fighter FFA,Fighter 2-TDM,Fighter 4-TDM,Fighter Maze,Flank Guard FFA,Flank Guard 2-TDM,Flank Guard 4-TDM,Flank Guard Maze,Gunner FFA,Gunner 2-TDM,Gunner 4-TDM,Gunner Maze,Gunner Trapper FFA,Gunner Trapper 2-TDM,Gunner Trapper 4-TDM,Gunner Trapper Maze,Hunter FFA,Hunter 2-TDM,Hunter 4-TDM,Hunter Maze,Hybrid FFA,Hybrid 2-TDM,Hybrid 4-TDM,Hybrid Maze,Landmine FFA,Landmine 2-TDM,Landmine 4-TDM,Landmine Maze,Machine Gun FFA,Machine Gun 2-TDM,Machine Gun 4-TDM,Machine Gun Maze,Manager FFA,Manager 2-TDM,Manager 4-TDM,Manager Maze,Mega Trapper FFA,Mega Trapper 2-TDM,Mega Trapper 4-TDM,Mega Trapper Maze,Necromancer FFA,Necromancer 2-TDM,Necromancer 4-TDM,Necromancer Maze,Octo Tank FFA,Octo Tank 2-TDM,Octo Tank 4-TDM,Octo Tank Maze,Overlord FFA,Overlord 2-TDM,Overlord 4-TDM,Overlord Maze,Overseer FFA,Overseer 2-TDM,Overseer 4-TDM,Overseer Maze,Overtrapper FFA,Overtrapper 2-TDM,Overtrapper 4-TDM,Overtrapper Maze,Penta Shot FFA,Penta Shot 2-TDM,Penta Shot 4-TDM,Penta Shot Maze,Predator FFA,Predator 2-TDM,Predator 4-TDM,Predator Maze,Quad Tank FFA,Quad Tank 2-TDM,Quad Tank 4-TDM,Quad Tank Maze,Ranger FFA,Ranger 2-TDM,Ranger 4-TDM,Ranger Maze,Rocketeer FFA,Rocketeer 2-TDM,Rocketeer 4-TDM,Rocketeer Maze,Skimmer FFA,Skimmer 2-TDM,Skimmer 4-TDM,Skimmer Maze,Skimmer v2 FFA,Skimmer v2 2-TDM,Skimmer v2 4-TDM,Skimmer v2 Maze,Smasher FFA,Smasher 2-TDM,Smasher 4-TDM,Smasher Maze,Sniper FFA,Sniper 2-TDM,Sniper 4-TDM,Sniper Maze,Spike FFA,Spike 2-TDM,Spike 4-TDM,Spike Maze,Sprayer FFA,Sprayer 2-TDM,Sprayer 4-TDM,Sprayer Maze,Spread Shot FFA,Spread Shot 2-TDM,Spread Shot 4-TDM,Spread Shot Maze,Stalker FFA,Stalker 2-TDM,Stalker 4-TDM,Stalker Maze,Streamliner FFA,Streamliner 2-TDM,Streamliner 4-TDM,Streamliner Maze,Trapper FFA,Trapper 2-TDM,Trapper 4-TDM,Trapper Maze,Tri-Angle FFA,Tri-Angle 2-TDM,Tri-Angle 4-TDM,Tri-Angle Maze,Tri-Trapper FFA,Tri-Trapper 2-TDM,Tri-Trapper 4-TDM,Tri-Trapper Maze,Triple Shot FFA,Triple Shot 2-TDM,Triple Shot 4-TDM,Triple Shot Maze,Triple Twin FFA,Triple Twin 2-TDM,Triple Twin 4-TDM,Triple Twin Maze,Triplet FFA,Triplet 2-TDM,Triplet 4-TDM,Triplet Maze,Twin FFA,Twin 2-TDM,Twin 4-TDM,Twin Maze,Twin Flank FFA,Twin Flank 2-TDM,Twin Flank 4-TDM,Twin Flank Maze
Tank,Annihilator,Annihilator,Annihilator,Annihilator,Assassin,Assassin,Assassin,Assassin,Auto 3,Auto 3,Auto 3,Auto 3,Auto 5,Auto 5,Auto 5,Auto 5,Auto Gunner,Auto Gunner,Auto Gunner,Auto Gunner,Auto Smasher,Auto Smasher,Auto Smasher,Auto Smasher,Auto Trapper,Auto Trapper,Auto Trapper,Auto Trapper,Basic Tank,Basic Tank,Basic Tank,Basic Tank,Battleship,Battleship,Battleship,Battleship,Booster,Booster,Booster,Booster,Destroyer,Destroyer,Destroyer,Destroyer,Factory,Factory,Factory,Factory,Fighter,Fighter,Fighter,Fighter,Flank Guard,Flank Guard,Flank Guard,Flank Guard,Gunner,Gunner,Gunner,Gunner,Gunner Trapper,Gunner Trapper,Gunner Trapper,Gunner Trapper,Hunter,Hunter,Hunter,Hunter,Hybrid,Hybrid,Hybrid,Hybrid,Landmine,Landmine,Landmine,Landmine,Machine Gun,Machine Gun,Machine Gun,Machine Gun,Manager,Manager,Manager,Manager,Mega Trapper,Mega Trapper,Mega Trapper,Mega Trapper,Necromancer,Necromancer,Necromancer,Necromancer,Octo Tank,Octo Tank,Octo Tank,Octo Tank,Overlord,Overlord,Overlord,Overlord,Overseer,Overseer,Overseer,Overseer,Overtrapper,Overtrapper,Overtrapper,Overtrapper,Penta Shot,Penta Shot,Penta Shot,Penta Shot,Predator,Predator,Predator,Predator,Quad Tank,Quad Tank,Quad Tank,Quad Tank,Ranger,Ranger,Ranger,Ranger,Rocketeer,Rocketeer,Rocketeer,Rocketeer,Skimmer,Skimmer,Skimmer,Skimmer,Skimmer v2,Skimmer v2,Skimmer v2,Skimmer v2,Smasher,Smasher,Smasher,Smasher,Sniper,Sniper,Sniper,Sniper,Spike,Spike,Spike,Spike,Sprayer,Sprayer,Sprayer,Sprayer,Spread Shot,Spread Shot,Spread Shot,Spread Shot,Stalker,Stalker,Stalker,Stalker,Streamliner,Streamliner,Streamliner,Streamliner,Trapper,Trapper,Trapper,Trapper,Tri-Angle,Tri-Angle,Tri-Angle,Tri-Angle,Tri-Trapper,Tri-Trapper,Tri-Trapper,Tri-Trapper,Triple Shot,Triple Shot,Triple Shot,Triple Shot,Triple Twin,Triple Twin,Triple Twin,Triple Twin,Triplet,Triplet,Triplet,Triplet,Twin,Twin,Twin,Twin,Twin Flank,Twin Flank,Twin Flank,Twin Flank
Gamemode,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze,FFA,2-TDM,4-TDM,Maze
2016-10-29,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1016245,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,406174,0,304399,743627,611579,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,467938,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,0,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,0,1001550,208146,1119795,1145308,1038454,509217,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,371805,727752,221530,417482,0,596500,580035,217959,216383,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,483339,1200000,581522,0,439359,443031,452241
2016-10-30,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1016245,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,406174,0,304399,743627,611579,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,467938,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,0,1001550,208146,1119795,1145308,1038454,509217,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,371805,727752,221530,417482,0,596500,580035,217959,216383,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,483339,1200000,581522,0,439359,443031,452241
2016-10-31,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1016245,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,467938,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,130930,1001550,208146,1119795,1145308,1038454,509217,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,371805,727752,221530,417482,0,596500,580035,217959,216383,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
2016-11-01,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1016245,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,476155,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,130930,1001550,208146,1119795,1145308,1038454,509217,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,688300,727752,221530,417482,0,596500,580035,217959,216383,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
2016-11-02,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1167669,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,476155,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,1245687,1001550,208146,1119795,1145308,1038454,509217,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,688300,727752,221530,417482,0,596500,580035,217959,216383,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
2016-11-03,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1167669,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,123254,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,476155,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,1245687,1001550,208146,1119795,1145308,1710221,942192,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,688300,727752,221530,417482,0,596500,580035,217959,645527,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
2016-11-04,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1167669,0,373193,865150,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,194726,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,476155,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,1245687,1001550,208146,1119795,1145308,1710221,942192,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,688300,727752,221530,417482,0,596500,580035,217959,645527,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
2016-11-05,1853290,1277426,1305511,649734,401386,311343,490976,356764,246553,325917,441421,169484,1365669,1167669,0,373193,1017847,876238,516891,1091964,1276086,638802,659562,486862,632256,471894,495007,1049267,834266,1243768,676246,243530,349909,1022469,420489,308211,1329466,861700,1700000,383949,1269824,1084839,2962409,742667,0,0,0,0,2100529,1205246,1767348,707888,792491,923650,895988,580311,194726,424506,0,304399,743627,647699,1085857,960337,624528,407711,391209,213064,3084274,1548832,0,1609638,1070038,941559,702176,464471,846002,564615,842462,424335,0,1045266,1799079,476155,266593,223314,368836,109534,1389876,2300000,3732566,578985,1820774,2113252,2611412,681229,3235412,2874203,2352222,1374626,1507193,1055941,1230084,517207,268830,366718,314525,450897,2481469,3297363,2521224,727377,946749,891190,1245280,0,430476,0,556281,308450,519059,860434,638120,345567,0,0,0,0,0,0,0,0,0,0,0,0,1112998,412673,867268,573029,1072402,1245687,1001550,208146,1119795,1145308,1710221,942192,1511231,606900,1127568,413604,1806585,0,1797657,831888,344213,688300,727752,221530,417482,0,596500,580035,217959,645527,377347,155188,1190854,568704,1242527,992783,500936,203904,359419,238056,659184,307241,567733,540847,1114757,704855,968884,1951086,1000000,1011316,2001142,0,920704,1020759,1200000,581522,0,439359,443031,452241
